0 121
1 100
2 109
3 93
4 111
5 100
6 104
7 113
8 94
9 83
10 98
11 110
12 103
13 100
14 105
15 107
16 95
17 105
18 102
19 97
20 107
21 107
22 90
23 94
24 99
25 105
26 88
27 99
28 106
29 112
30 107
31 92
32 95
33 107
34 91
35 100
36 107
37 98
38 101
39 100
40 100
41 95
42 92
43 108
44 103
45 91
46 90
47 94
48 91
49 90
50 96
51 85
52 96
53 85
54 107
55 87
56 90
57 99
58 93
59 96
60 116
61 99
62 104
63 92
64 100
65 97
66 94
67 89
68 105
69 107
70 98
71 88
72 108
73 84
74 87
75 104
76 99
77 93
78 95
79 101
80 102
81 94
